"wcID","workID","poetID","role","date"
662,83,4576,"序作者",""
663,83,4577,"題辭",""
664,83,4578,"題辭",""
665,83,4579,"跋作者","1818"
666,83,4580,"傳記作者",""
667,83,4581,"附記作者",""
668,83,263,"墓志詺作者",""
669,76,4600,"傳記作者",""
670,72,4621,"跋作者","1873"
671,79,4623,"序作者","1865"
672,79,4572,"附記作者","1855"
673,85,4625,"序作者","1712"
674,85,4626,"序作者","1711"
675,85,4627,"序作者",""
676,85,4628,"序作者","1711"
677,85,4629,"跋作者","1748"
678,69,4583,"傳記作者",""
679,69,4586,"跋作者","1651"
680,88,4640,"编輯",""
681,88,4640,"序作者",""
682,89,3847,"主要作者",""
683,90,911,"主要作者",""
684,91,911,"主要作者",""
685,92,99,"主要作者",""
705,112,225,"主要作者",""
687,94,4424,"主要作者",""
689,100,1480,"主要作者",""
690,98,1015,"主要作者",""
691,97,3647,"主要作者",""
692,108,1500,"主要作者",""
693,109,4663,"主要作者",""
694,94,4667,"序作者","1903"
695,94,4668,"序作者","1904"
696,94,247,"序作者","1903"
697,94,4669,"序作者","1903"
698,94,4670,"題辭",""
699,94,4671,"題辭",""
700,94,4672,"題辭",""
701,94,4669,"題辭",""
702,107,227,"主要作者",""
703,91,456,"序作者","1913"
704,91,4673,"題辭","1854"
706,91,456,"附記作者",""
707,55,150,"主要作者",""
708,107,4674,"題辭","1854"
709,107,4675,"序作者","1892"
710,107,4676,"傳記作者","1854"
711,107,4677,"序作者","1854"
712,107,343,"序作者","1854"
713,107,4678,"序作者","1854"
714,107,418,"題辭",""
715,107,3799,"題辭",""
716,107,4679,"題辭",""
717,107,4680,"題辭",""
718,107,4681,"題辭",""
719,107,3804,"題辭",""
720,107,3825,"題辭",""
721,107,3797,"題辭",""
722,107,3766,"題辭",""
723,107,4682,"題辭",""
724,107,4683,"題辭",""
725,107,199,"題辭",""
726,107,3568,"題辭",""
727,107,190,"題辭",""
728,107,3735,"題辭",""
729,107,3658,"題辭",""
730,107,3567,"題辭",""
731,110,3822,"主要作者",""
732,107,4684,"跋作者","1875"
733,106,82,"作者",""
734,106,127,"作者",""
735,106,199,"作者",""
736,106,188,"作者",""
737,96,4692,"主要作者",""
738,96,163,"主要作者",""
739,108,4685,"序作者",""
740,108,4697,"作者",""
741,108,1054,"作者",""
742,108,4578,"傳記作者",""
743,108,4699,"傳記作者",""
744,108,446,"傳記作者",""
745,108,4698,"附記作者",""
746,100,4713,"主要作者",""
747,100,4714,"主要作者",""
748,100,4715,"主要作者",""
749,105,3512,"主要作者",""
750,94,3990,"序作者",""
751,118,4424,"主要作者",""
752,95,4785,"编輯",""
753,95,94,"作者",""
754,95,99,"作者",""
755,95,221,"作者",""
756,99,4756,"主要作者",""
757,113,4783,"编輯",""
758,111,1917,"主要作者",""
759,118,4667,"序作者","1903"
760,118,3990,"序作者","1890"
761,118,4668,"序作者","1904"
