"prID","poetID","regionID"
1916,2251,19
1900,2192,782
1914,2194,792
1902,2196,781
3443,2198,247
1904,2202,784
1905,2204,784
1906,2205,120
1907,2210,785
1908,2225,786
1909,2227,787
1910,2228,788
1915,2250,99
1912,2231,791
1917,2126,493
1918,2240,793
1921,2252,99
1922,2256,99
2002,2191,795
1924,2220,796
1925,2248,431
1926,2254,26
1927,2259,99
1928,2262,26
1929,2263,99
1930,2264,195
1931,2265,99
1932,2266,99
1933,2267,26
1934,2269,99
1935,2270,99
1936,2271,26
1937,2274,797
2003,2372,305
2005,2377,390
1940,2277,26
1941,1577,124
1942,2279,798
1943,2280,26
1944,2281,26
1945,2288,99
1946,2289,99
1947,2291,19
1969,2329,26
1949,2293,27
1950,2294,27
1951,2295,26
1952,2296,27
1953,2298,27
1954,2312,324
1955,2313,799
1957,2315,27
2004,2376,811
1959,2316,99
1960,2317,799
1961,2318,799
1962,2319,799
1963,2322,163
1964,2324,799
1965,2325,799
1970,2330,305
1971,2331,124
1972,2332,124
1973,2333,20
1974,2334,124
1976,2337,803
1977,2338,803
1978,2339,803
1979,2340,803
1980,2341,803
1981,2342,803
1982,2343,803
1983,2344,20
1984,2346,395
1985,2348,395
1986,2350,370
1987,2351,804
1988,2352,804
1989,1988,805
1991,2356,808
1992,2358,809
1993,2360,810
2582,3498,110
1995,2363,811
1996,2367,390
1997,2368,124
1998,2369,124
1999,2370,26
2000,2371,305
2001,2187,812
2006,2378,390
2007,2379,314
2008,2380,314
2009,2381,314
2010,2382,813
2011,2383,813
2012,2384,813
2013,2385,814
2014,2386,815
2015,2388,816
2016,2389,817
2017,2392,818
2967,4165,110
2019,2395,819
2020,2396,820
2021,2397,206
2022,2401,20
2908,4101,26
2024,2403,305
2025,2404,26
2026,2402,821
2027,2405,822
2028,2408,823
3278,2413,824
2030,2414,825
2031,2416,827
2032,2424,828
2033,2425,829
2034,2426,830
2035,2427,831
2036,2428,832
2037,2430,833
2038,2433,832
2039,2434,834
2040,2435,835
2041,2436,836
2042,2437,837
2043,2439,838
2044,2440,839
2045,2328,799
2046,2442,811
2047,2444,840
2048,2445,841
2049,2446,842
2050,2447,843
2051,2448,772
2052,2449,844
2053,2450,845
2054,2451,846
2055,2456,847
2056,2457,848
2057,2458,849
2058,2461,850
2059,2465,851
2060,2469,852
2061,2470,853
2062,2471,854
2063,2472,855
2064,2473,856
2065,2474,857
2066,2475,858
2067,2476,859
2068,2477,860
2069,2479,861
2070,2480,862
2071,2481,863
2072,2482,229
2097,2544,26
2074,2203,864
2075,2486,865
2076,2487,283
2077,2489,866
2078,2490,867
2079,2491,72
2080,2496,868
2081,2499,869
2082,2501,870
2083,2502,871
2084,2506,872
2085,2507,873
2086,2510,874
2087,2511,875
2088,2517,876
2089,2522,877
3429,2523,431
2091,2525,878
2092,2531,879
2093,2534,880
2094,2536,881
2095,2538,882
2096,2540,883
2098,2545,26
2099,2546,19
2101,2548,803
2104,2552,886
2105,2553,887
2107,2561,889
2108,2564,890
2109,2565,891
2110,2566,892
2111,2567,893
2112,2568,894
2113,2570,895
2114,2574,896
2115,2575,897
2116,2576,897
2117,2577,898
2118,2578,899
