"swpID","subworkID","poemID"
1952,0,2980
471,0,2981
472,0,2982
473,0,2983
1956,0,2985
475,0,2986
1958,0,2987
477,0,2988
478,0,2989
479,0,2991
1959,0,2992
1960,0,2993
482,0,2994
1961,0,2995
484,0,2996
485,0,2997
1962,0,2998
487,0,2999
1963,0,3000
1964,0,3001
1965,0,3002
491,0,3003
1966,0,3004
494,0,3005
1967,0,3006
496,0,3007
497,0,3008
1969,0,3009
499,0,3010
1970,0,3011
1971,0,3012
12049,214,15775
503,0,3014
1973,0,3015
12288,0,3016
507,0,3017
508,0,3018
509,0,3019
511,0,3020
512,0,3021
513,0,3022
1771,0,3023
520,0,3024
521,0,3025
522,0,3026
523,0,3027
524,0,3028
525,0,3029
526,0,3030
527,0,3031
528,0,3032
529,0,3033
530,0,3034
531,0,3035
532,0,3036
536,0,3037
537,0,3038
538,0,3039
539,0,3040
540,0,3041
541,0,3042
542,0,3043
543,0,3044
544,0,3045
545,0,3046
546,0,3047
547,0,3048
548,0,3049
549,0,3050
550,0,3051
551,0,3052
553,0,3053
554,0,3054
555,0,3055
556,0,3056
557,0,3057
558,0,3058
559,0,3059
560,0,3060
561,0,3061
562,0,3062
563,0,3063
564,0,3064
565,0,3065
566,0,3066
568,0,3067
569,0,3068
570,0,3069
571,0,3070
572,0,3071
573,0,3072
3700,0,3073
